Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Treasurers and Controllers,perform work,"perform workflow, perform workload, determine work, perform work, work scheduling, support work, work apparatus, identify work, work equipment, perform collaboration"
Facilities Managers,monitor facility,"monitor building, manage facility, monitor appliance, monitor environment, monitor construction, monitor equipment, maintain facility, operate facility, monitor capacity, monitor operation, monitor occupancy"
Marriage and Family Therapists,"ask question, identify feeling","identify emotion, ask query, ask question, identify impression, detect feeling"
Ophthalmic Medical Technologists,"perform lamp, diagnose disorder","diagnose adhd, diagnose impairment, diagnose depression, diagnose illness, diagnose syndrome, diagnose symptom, diagnose disability, diagnose dementia, detect disorder, diagnose autism, diagnose abnormality, diagnose pathology, identify disorder, diagnose fibrosis, diagnose dysfunction, diagnose schizophrenia, diagnose disorder, diagnose disease, determine disorder, evaluate disorder"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",maintain record,"generate record, distribute record, record communication, evaluate record, resolve record, provide record, determine record"
"Plumbers, Pipefitters, and Steamfitters",determine detail,ascertain description
Appraisers and Assessors of Real Estate,"write report, estimate value, meet standard","convert value, extract value, regulate value, distribute value, impute value, meet requirement, analyze value, estimate viability, estimate quantity, correct value, optimize value, generate value, meet conception, compute value, estimate value, meet criterion, calculate value, determine value, write document, evaluate value, adjust value, predict value, assess value, identify value, measure value, compensate value, represent value, meet participant, write assessment, limit value"
"Directors, Religious Activities and Education","analyze revenue, determine priority","determine assignment, determine assurance, determine vulnerability, determine constraint, ensure determinism, determine priority, determine requirement, determine dependency, determine profitability, assign priority, determine expenditure, determine likelihood, determine understanding, determine strategy, determine relevance, determine satisfaction, determine criterion, optimize revenue, determine familiarity, determine relevancy, determine attribute, determine progress, determine propensity, determine compliance, determine probability, determine positioning, identify priority, determine target, determine sufficiency, determine alignment, determine viability, determine allocation, determine threshold, determine potential, determine coordinate, determine benefit, determine efficiency, generate priority, determine comprehensiveness, determine readiness, determine recommendation, determine proportion, determine confidence, determine substitution, determine individual, determine preference, determine preparedness, determine availability, determine suitability, ascertain suitability, determine effectiveness, determine scheduling"
"Insulation Workers, Mechanical","Read blueprint, determine requirement","determine extension, evaluate definition, determine assignment, ensure determinism, determine impression, determine registration, determine measurement, determine summarization, obtain measurement, determine ability, determine stability, determine profitability, determine association, determine difference, determine criterion, determine option, determine prediction, determine selection, supervise requirement, determine concentration, determine performance, determine viability, determine allocation, determine alternative, determine plurality, determine statistic, determine arrangement, determine causation, determine distribution, determine substitution, determine preference, assess intelligibility, ascertain suitability, determine signature, determine equipment, assess stratification, determine adjustment, determine portion, determine rejection, determine application, determine instruction, determine constraint, ascertain description, determine orientation, determine hybridisation, determine expenditure, determine disability, determine variation, predict requirement, determine relevance, determine pronunciation, consider requirement, determine familiarity, determine configuration, determine attribute, evaluate requirement, determine identification, determine liability, assess compliance, determine propensity, determine direction, determine information, determine attribution, assess function, determine position, determine capacity, determine function, determine explanation, determine impairment, determine efficiency, determine comprehensiveness, determine constellation, determine expertise, determine operation, determine reflection, determine treatment, determine proportion, determine intention, determine interaction, determine effectiveness, determine condition, identify application, determine transmission, determine apparatus, determine approach, determine assurance, determine vulnerability, determine combination, determine requirement, determine dependency, determine translation, determine activity, determine connection, determine workload, determine strategy, determine satisfaction, determine dimension, assess extraction, determine correspondence, determine conclusion, determine representation, determine relevancy, assess condition, determine progress, determine involvement, determine compliance, determine intent, determine positioning, determine resistance, manage requirement, determine modification, determine structure, determine correction, determine threshold, determine environment, determine protocol, determine refraction, determine preparedness, determine progression, determine maintenance, determine mobility, determine duration, determine scheduling, determine resource, determine variability, determine occupancy, determine formulation, determine correlation, determine proposal, assess individual, determine physiology, determine priority, determine friction, determine functionality, determine element, determine stimulation, determine measure, determine emission, determine likelihood, determine understanding, assess solution, determine segment, determine deception, determine classification, determine probability, determine navigation, determine deceleration, determine segmentation, determine sufficiency, determine alignment, determine interval, determine context, determine documentation, determine indication, determine potential, determine connectivity, determine coordinate, determine benefit, determine readiness, determine relation, determine indicator, determine recommendation, determine prescription, determine individual, determine situation, determine availability, determine question, determine suitability, determine presentation"
"Special Education Teachers, Secondary School","employ strategy, improve development","improve impairment, provide development, employ intelligence, improve stimulation, improve understanding, improve distribution, improve treatment, improve processing, improve resolution, employ technology, improve registration, improve engagement, improve business, employ inference, enhance recovery, improve network, improve responsibility, improve environment, improve response, effectuate development, improve adaptation, enhance assessment, improve production, enhance reliability, improve automation, improve process, improve control, improve selection, improve utilization, improve flexibility, improve design, improve precision, improve determination, improve effectiveness, improve technique, improve compliance, enhance training, improve wellness, improve recovery, enhance competence, improve workflow, improve application, augment development, improve enhancement, enhance supervision, improve efficiency, improve cognition, enhance creation, enhance memorization, improve visualization, improve accessibility, improve communication, promote development, improve strategy, enhance application, develop potential, assess development, improve recognition, enhance engagement, support development, develop impairment, enhance allocation, improve awareness, improve tolerance, improve evaluation, improve construction, improve throughput, enhance recognition, enhance accessibility, improve shaping, improve prediction, improve measurement, enhance collaboration, improve reliability, improve intelligence, improve conversation, improve analysis, improve sensitivity, facilitate improvement, improve management, improve stability, improve connectivity, improve knowledge, improve training, improve translation, improve microorganism, improve experience, improve ability, accelerate development, enhance management, improve capacity, improve optimization, improve relevance, improve action, improve function, improve operation, develop application, improve allocation, improve placement, improve adaptability, improve interaction, improve segmentation, enhance optimization, employ technique, enhance prediction, employ modality, enhance development, develop function, improve usability, improve diversity, improve concentration, enhance interaction, improve mapping, improve recommendation, improve learning, improve reconstruction, improve information, enhance operation, improve productivity, improve condition, improve classification, assist development, improve achievement, improve connection, improve functionality, improve visibility, improve provision, enhance usability, improve generation, develop pharmaceutical, improve durability, improve competency, improve attractiveness, improve interpretation, improve protection, improve dysfunction, improve vision, improve presentation, improve functioning, improve establishment, facilitate development, improve healthcare, improve intelligibility, enhance modification, evaluate strategy, enhance consolidation, improve capability, enhance recommendation, improve performance, enhance memorability, enhance support, improve estimation, improve detection, enhance communication, improve definition, employ platform, develop strategy, facilitate enhancement, develop prediction, generate strategy"
Wellhead Pumpers,produce oil,"contain oil, detect oil, upgrade oil, lubricate oil, produce oil"
Emergency Management Directors,perform test,"test accuracy, test modification, test circuit, test acuity, compile test, realize test, provide test, select test, perform test, test terminal, test interface, facilitate test, test element, conduct test, test integrity, test software, test function, administer test, test application, test capability, test functionality, improve test, execute test, test feature, test robustness, test sample, test test, test performance, perform testing, test integration, generate test, test address, test sensitivity, test computing, test obstacle, test equipment, simulate test, validate test, test examinee, identify test"
"Middle School Teachers, Except Special and Career/Technical Education",supervise activity,"regulate activity, correlate activity, initiate activity, characterize activity, perform activity, modulate activity, communicate activity, personalize activity, classify activity, involve activity, employ activity, complete activity, simulate activity"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",perform maintenance,"perform acquisition, perform treatment, perform optimization, perform estimation, perform workflow, perform apparatus, perform modulation, perform combination, perform determination, perform computation, perform inspection, perform classification, perform inversion, perform reservation, perform testing, perform rehabilitation, perform interaction, perform correction, perform acceleration, perform reception, perform positioning, perform recognition, perform multiplication, perform switching, perform transfer, perform application, perform reconciliation, perform exponentiation, perform separation, perform localization, perform assessment, perform selection, perform pricing, perform transmission, perform communication, perform management, perform carrier, perform screening, perform conversion, perform workload, perform enhancement, perform activity, perform finding, perform detection, perform convolution, perform navigation, perform segmentation, perform function, perform amplification, perform training, perform occlusion, perform reporting, perform orchestration, perform authorization, perform instrument, perform manipulation, perform calibration, perform induction, perform recovery, perform procedure, perform mobility, perform control, perform validation, perform adjustment, perform allocation, perform instruction, perform highlighting, perform calculation, perform protection, perform measurement, perform transaction, perform operation, perform computing, perform registration, perform specification, perform processing, perform transformation, perform exploration, perform tracking, perform identification, perform stimulation, perform execution, perform planning, perform maintenance, perform examination, perform handover, perform extraction, perform reconstruction, perform aggregation, perform authentication, perform service, perform profiling, perform simulation, perform distillation"
Biological Technicians,prepare supply,"manage supply, optimize supply"
Clinical and Counseling Psychologists,"identify symptom, make diagnosis, develop approach","develop behavior, develop model, specify symptom, develop software, make capability, make estimation, develop ontology, diagnose symptom, develop pharmaceutical, develop intelligence, recognize symptom, develop potential, identify dementia, develop application, identify frailty, ameliorate symptom, make recommendation, make prediction, develop content, develop dementia, develop impairment, utilize approach, address symptom, identify allergy, develop object, develop curriculum, detect symptom, localize lesion, identify abnormality, identify impairment, develop strategy, make overlay, develop language, identify disease, identify lesion, identify patient, make determination, assess symptom, make adjustment, make advice, identify disorder, develop dictionary, develop function, develop program, make inference, develop treatment, make sequence, make formulation, make compound, develop network, develop solution, identify problem, make decision, develop prediction, provide approach"
